"sample","easting","northing","altitude","mintemp","precipitation","distwater","aspect","slope","distfarm","distpoul","density","vegtype","dist_urb","year","island","age","malaria","lk6","lk5","kys9","ps1530","x5239s1","x7259s1","tlr4_1","tlr4_2","tlr4_3","tlr4_4","x5239s1_a","x5239s1_t","x7259s1_a","x7259s1_t","tlr4_1_a","tlr4_1_g","tlr4_2_a","tlr4_2_g","tlr4_3_c","tlr4_3_t","tlr4_4_a","tlr4_4_c","tlr4_prot_1","tlr4_prot_2","tlr4_prot_3","tlr4_prot_4","x5239s1_t_2","x7259s1_a_2","tlr4_1_g_2","tlr4_2_a_2","tlr4_3_c_2","tlr4_4_c_2","x5239s1_het","x7259s1_het","tlr4_1_het","tlr4_2_het","tlr4_3_het","tlr4_4_het","tlr4_het","distwater_cat","disturb_cat","distfarm_cat","distpoul_cat"
1101,335589,3099408,19,14.2,257,252.84375,"SE",2.751,389.477855,389.477855,0.407,"Grass",113.960466,2011,"TF","adult","N","N","N","N","N","TT","AT","AA","GG","CT","AC",0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,2,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","median far","close","close"
1102,335599,3099416,19,14.2,257,252.84375,"SE",2.751,389.477855,389.477855,0.407,"Grass",113.960466,2011,"TF","adult","Y","Y","N","N","N","AA","AA","AA","GG","TT","AC",1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,2,0,0,0,1,"homozygous","homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","median close","median far","close","close"
1103,334526,3099143,37,14.2,263,0,"S",0.82,1399.224428,1399.224428,0.407,"Urban",107.841385,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","close","median close","far","median close"
1104,365384,3134564,55,14.2,277.8283,349.646629,"E",4.93,1276.027037,1276.027037,0.814,"Shrub",77.347778,2011,"TF","adult","N","N","N","N","N","TT","AT","AA","GG","CT","AC",0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,2,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median far","median close","far","median close"
1105,365385,3134565,52,14.2,277.7438,350.779155,"E",4.876,1277.297537,1277.297537,0.814,"Shrub",78.761011,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CT","CC",1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,2,"homozygous","heterozygous","homozygous","homozygous","heterozygous","homozygous","homozygous","median far","median close","far","median close"
1106,365464,3134550,46,14.2,269.6461,427.287631,"E",4.842,1331.896767,1347.727346,0.814,"Shrub",102.801197,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CC","CC",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median far","median close","far","median close"
1107,366308,3134625,7,14.5,263,743.260595,"E",2.342,2063.620604,2105.131112,0.611,"Shrub",42.749726,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","TT","AA",1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","far","close","far","median far"
1108,366328,3134635,7,14.5,263,743.260595,"E",2.342,2063.620604,2105.131112,0.611,"Shrub",42.749726,2011,"TF","adult","N","N","N","N","N","AA","AA","AA","GG","CT","AC",1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,2,0,0,1,1,"homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","far","close","far","median far"
1109,366451,3133811,3,14.5,263,638.538022,"NE",2.502,1960.190041,1981.226387,0.611,"Shrub",118.022132,2011,"TF","adult","Y","Y","N","N","N","AA","AA","AA","GG","TT","AC",1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,2,0,0,0,1,"homozygous","homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","median far","median far","far","median far"
1111,366517,3133537,17,14.5,263,731.450224,"E",5.083,2000.257233,2013.340011,0.611,"Shrub",80.595189,2011,"TF","adult","N","N","N","N","N","AT","TT","AA","GG","TT","CC",1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,2,"heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","far","median close","far","median far"
1112,364691,3131607,65,14.4,263,71.198053,"S",10.355,921.912143,1977.861976,0.611,"Shrub",5.864903,2011,"TF","adult","Y","Y","N","N","N","AT","AT","AA","GG","CC","CC",1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,2,2,"heterozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","close","close","median far","median far"
1113,361675,3125064,153,13.7,259,151.658758,"SE",9.927,474.071724,474.071724,0.611,"Shrub",95.901454,2011,"TF","adult","N","N","N","N","N","AT","AT","AA","GG","CC","CC",1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,2,2,"heterozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median close","median close","close"
1114,361317,3125055,192,13.7,267.681,147.530942,"E",8.153,304.868824,304.868824,0.611,"Urban",4.115927,2011,"TF","adult","Y","Y","N","N","N","AT","AT","AA","GG","CC","CC",1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,2,2,"heterozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","close","close","close"
1115,360775,3125908,343,12.4,321,2.893623,"SE",8.926,271.280297,727.486082,0.611,"Urban",94.510188,2011,"TF","adult","Y","Y","N","N","N","AA","TT","AA","GG","CC","CC",1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","close","median close","close","close"
1116,360984,3122855,86,13.8,259,24.857061,"E",6.382,692.301235,1855.157675,0.458,"Shrub",58.270532,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CC","CC",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","close","median close","median close","median far"
1117,361173,3122839,53,14.2,259,184.156448,"E",5.988,586.204742,1834.099506,0.458,"Shrub",158.608224,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","median far","median close","median far"
1118,359665,3120372,94,14.26,261.9474,65.490725,"SE",5.589,1143.741666,2916.923379,0.763,"Shrub",109.913445,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CC","CC",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","close","median far","median far","median far"
1119,359673,3120293,83,14.39,261.4326,144.736087,"S",10.373,1194.10971,2855.053239,0.763,"Shrub",72.209884,2011,"TF","adult","Y","Y","N","N","N","AA","TT","AA","GG","TT","AA",1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median close","median far","median far"
1120,358890,3120846,134,13.6,272.8642,62.682616,"S",8.954,1133.194599,3033.408149,0.763,"Shrub",130.972726,2011,"TF","adult","N","N","N","N","N","AA","TT","AA","GG","CC","CC",1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","close","median far","median far","median far"
